scenario_id,pv_kw,wind_kw,battery_kwh,elec_load_mwh_per_year,heat_mwh_per_year,heat_peak_kw,pv_gen_mwh,wind_gen_mwh,spill_mwh,import_mwh,export_mwh,curtailment_ratio,self_sufficiency,battery_cycles_per_year,capex_total_eur,ann_capex_elec_eur_per_year,ann_pv_eur_per_year,ann_wind_eur_per_year,ann_batt_eur_per_year,ann_grid_eur_per_year,heat_total_annual_eur_per_year,total_annual_eur_per_year,lco_served_eur_per_kwh,timeseries_file
s5_2035_costs_grid_connected_gshp,351.30221,793.51191,1223.067,2029.0605201187923,2678.470449663289,1529.5388268537547,405.67666769918117,2379.42640034982,963.6765033056798,220.83094625477,0.0,0.3460110738310116,0.8911659144391408,205.0115997067816,1283339.7762959998,133163.75311033532,14763.685666336616,94597.82395772639,23802.24348627231,52083.48936857969,310090.9719849809,495338.21446389594,0.24412195178628587,timeseries_s5_2035_costs_grid_connected_gshp.csv.gz
s5_2035_costs_grid_connected_ashp,343.66208,868.69924,1232.4372,2141.8166431432705,2678.470449663289,1529.5388268537547,396.8540005170176,2604.88327846248,1080.9423915009531,233.80554530358444,0.0,0.3601055958729478,0.8908377399848486,197.0824992223937,1373088.022456,141988.41795378065,14442.604629670355,103561.21532911928,23984.59799499102,55420.10815414028,242592.72576640133,440001.25187432225,0.2054336692559213,timeseries_s5_2035_costs_grid_connected_ashp.csv.gz
s5_2035_costs_grid_connected_electric,263.77326,1920.1848,1738.2738,4020.7436749966228,2678.470449663289,1529.5388268537547,304.6000113262872,5757.8699816496,2600.6868088486704,574.5874051826,0.0,0.4289813907304917,0.8570942463316609,170.80932217869199,2689854.676548,273827.1106312212,11085.229147362556,228913.14092147915,33828.740562379506,139531.55191642253,8266.977636699756,421625.6401843435,0.10486260111686867,timeseries_s5_2035_costs_grid_connected_electric.csv.gz
s5_2035_costs_grid_connected_district,405.52834,400.20482,1374.3043,1342.2732253333336,2678.470449663289,1529.5388268537547,468.29590291726487,1200.05497366164,429.32219526347,121.20489472711,0.0,0.2573332752063712,0.9097017712641846,248.30498694817516,846741.277178,91498.1260966223,17042.571239592493,47710.065384391746,26745.48947263807,26945.03115964256,370776.3137287655,489219.4709850304,0.3644708556736205,timeseries_s5_2035_costs_grid_connected_district.csv.gz
s5_2035_costs_grid_connected_final_electric,263.77326,1920.1848,1738.2738,4020.7436749966228,2678.470449663289,1529.5388268537547,304.6000113262872,5757.8699816496,2600.6868088486704,574.5874051826,0.0,0.4289813907304917,0.8570942463316609,170.80932217869199,2689854.676548,273827.1106312212,11085.229147362556,228913.14092147915,33828.740562379506,139531.55191642253,8266.977636699756,421625.6401843435,0.10486260111686867,timeseries_s5_2035_costs_grid_connected_final_electric.csv.gz
s5_2035_costs_grid_connected_gshp,351.30221,793.51191,1223.067,2029.0605201187923,2678.470449663289,1529.5388268537547,405.67666769918117,2379.42640034982,963.6765033056798,220.83094625477,0.0,0.3460110738310116,0.8911659144391408,205.0115997067816,1283339.7762959998,133163.75311033532,14763.685666336616,94597.82395772639,23802.24348627231,52083.48936857969,310090.9719849809,495338.21446389594,0.24412195178628587,timeseries_s5_2035_costs_grid_connected_gshp.csv.gz
s5_2035_costs_grid_connected_ashp,343.66208,868.69924,1232.4372,2141.8166431432705,2678.470449663289,1529.5388268537547,396.8540005170176,2604.88327846248,1080.9423915009531,233.80554530358444,0.0,0.3601055958729478,0.8908377399848486,197.0824992223937,1373088.022456,141988.41795378065,14442.604629670355,103561.21532911928,23984.59799499102,55420.10815414028,242592.72576640133,440001.25187432225,0.2054336692559213,timeseries_s5_2035_costs_grid_connected_ashp.csv.gz
s5_2035_costs_grid_connected_electric,263.77326,1920.1848,1738.2738,4020.7436749966228,2678.470449663289,1529.5388268537547,304.6000113262872,5757.8699816496,2600.6868088486704,574.5874051826,0.0,0.4289813907304917,0.8570942463316609,170.80932217869199,2689854.676548,273827.1106312212,11085.229147362556,228913.14092147915,33828.740562379506,139531.55191642253,8266.977636699756,421625.6401843435,0.10486260111686867,timeseries_s5_2035_costs_grid_connected_electric.csv.gz
s5_2035_costs_grid_connected_district,405.52834,400.20482,1374.3043,1342.2732253333336,2678.470449663289,1529.5388268537547,468.29590291726487,1200.05497366164,429.32219526347,121.20489472711,0.0,0.2573332752063712,0.9097017712641846,248.30498694817516,846741.277178,91498.1260966223,17042.571239592493,47710.065384391746,26745.48947263807,26945.03115964256,370776.3137287655,489219.4709850304,0.3644708556736205,timeseries_s5_2035_costs_grid_connected_district.csv.gz
s5_2035_costs_grid_connected_final_electric,263.77326,1920.1848,1738.2738,4020.7436749966228,2678.470449663289,1529.5388268537547,304.6000113262872,5757.8699816496,2600.6868088486704,574.5874051826,0.0,0.4289813907304917,0.8570942463316609,170.80932217869199,2689854.676548,273827.1106312212,11085.229147362556,228913.14092147915,33828.740562379506,139531.55191642253,8266.977636699756,421625.6401843435,0.10486260111686867,timeseries_s5_2035_costs_grid_connected_final_electric.csv.gz
s5_2035_costs_grid_connected_gshp,351.30221,793.51191,1223.067,2029.0605201187923,2678.470449663289,1529.5388268537547,405.67666769918117,2379.42640034982,963.6765033056798,220.83094625477,0.0,0.3460110738310116,0.8911659144391408,205.0115997067816,1283339.7762959998,133163.75311033532,14763.685666336616,94597.82395772639,23802.24348627231,52083.48936857969,310090.9719849809,495338.21446389594,0.24412195178628587,timeseries_s5_2035_costs_grid_connected_gshp.csv.gz
