snapshot,load_kW,pv_used_kW,wind_used_kW,dis_kW,ch_kW,battery_net_kW,soc_kWh,grid_import_kW,pv_kW,wind_kW,ren_potential_kW,ren_used_kW,spill_kW
2019-01-01 00:00:00,112.76825726452215,0.0,12.474756411511883,100.29350085348813,0.0,100.29350085348813,0.0,-0.0,0.0,549.5079303313896,549.5079303313896,12.474756411511883,537.0331739198778
2019-01-01 01:00:00,86.80312516274482,0.0,86.8031251627,0.0,-0.0,0.0,0.0,-0.0,0.0,561.7464143031355,561.7464143031355,86.8031251627,474.94328914043547
2019-01-01 02:00:00,76.57057437875423,0.0,76.57057437879999,0.0,-0.0,0.0,0.0,-0.0,0.0,574.5968224734686,574.5968224734686,76.57057437879999,498.02624809466863
2019-01-01 03:00:00,71.52875694986669,0.0,71.5287569499,0.0,-0.0,0.0,0.0,-0.0,0.0,586.2233822466271,586.2233822466271,71.5287569499,514.6946252967272
2019-01-01 04:00:00,80.55950432768685,0.0,80.5595043277,0.0,-0.0,0.0,0.0,-0.0,0.0,594.7903210268493,594.7903210268493,80.5595043277,514.2308166991493
2019-01-01 05:00:00,100.3603519681416,0.0,355.25976536535376,0.0,254.89941339735373,-254.89941339735373,248.44510535071933,-0.0,0.0,596.6260936226112,596.6260936226112,355.25976536535376,241.3663282572574
2019-01-01 06:00:00,123.20854342177681,0.0,0.0,123.20854342199999,0.0,123.20854342199999,122.03575065901136,-0.0,0.0,600.2976388141349,600.2976388141349,0.0,600.2976388141349
2019-01-01 07:00:00,128.36726433011245,0.0,128.36726433,0.0,-0.0,0.0,122.03575065901136,-0.0,0.0,602.1334114098969,602.1334114098969,128.36726433,473.7661470798969
2019-01-01 08:00:00,118.945683416927,0.0,0.0,118.945683417,0.0,118.945683417,0.0,-0.0,19.961652131128666,605.1930324028333,625.1546845339619,0.0,625.1546845339619
2019-01-01 09:00:00,115.08476948945133,0.0,115.084769489,0.0,-0.0,0.0,0.0,-0.0,70.63226839262434,606.4168808000079,677.0491491926323,115.084769489,561.9643797036323
2019-01-01 10:00:00,102.38353673833377,0.0,102.383536738,0.0,-0.0,0.0,0.0,-0.0,103.6501239970432,606.4168808000079,710.0670047970511,102.383536738,607.6834680590512
2019-01-01 11:00:00,103.41195405523489,0.0,103.41195405500001,0.0,-0.0,0.0,0.0,-0.0,114.5200737456694,606.4168808000079,720.9369545456773,103.41195405500001,617.5250004906773
2019-01-01 12:00:00,107.55382702736284,0.0,107.55382702700001,0.0,-0.0,0.0,0.0,-0.0,93.95466654063135,606.4168808000079,700.3715473406393,107.55382702700001,592.8177203136393
2019-01-01 13:00:00,113.63321343425433,0.0,113.633213434,0.0,-0.0,0.0,0.0,-0.0,71.52846733045857,606.4168808000079,677.9453481304665,113.633213434,564.3121346964665
2019-01-01 14:00:00,116.91880284977499,0.0,116.91880285,0.0,-0.0,0.0,0.0,-0.0,0.28301019089501883,606.4168808000079,606.6998909909029,116.91880285,489.78108814090285
2019-01-01 15:00:00,131.40630746600263,0.0,421.3451837158477,0.0,289.9388762498478,-289.9388762498478,282.5973339643254,-0.0,0.0,603.9691840056587,603.9691840056587,421.3451837158477,182.62400028981097
2019-01-01 16:00:00,190.31579575090007,0.0,190.315795751,0.0,-0.0,0.0,282.5973339643254,-0.0,0.0,595.4022452254366,595.4022452254366,190.315795751,405.08644947443656
2019-01-01 17:00:00,266.44998123013204,0.0,266.44998123000005,0.0,-0.0,0.0,282.5973339643254,-0.0,0.0,587.4472306438017,587.4472306438017,266.44998123000005,320.9972494138017
2019-01-01 18:00:00,304.2810666817322,0.0,304.281066682,0.0,-0.0,0.0,282.5973339643254,-0.0,0.0,584.9995338494526,584.9995338494526,304.281066682,280.7184671674526
2019-01-01 19:00:00,312.28567341807616,0.0,312.285673418,0.0,-0.0,0.0,282.5973339643254,-0.0,0.0,587.4472306438017,587.4472306438017,312.285673418,275.16155722580174
2019-01-01 20:00:00,307.8228253272745,0.0,307.82282532700003,0.0,-0.0,0.0,282.5973339643254,-0.0,0.0,585.6114580480398,585.6114580480398,307.82282532700003,277.7886327210398
2019-01-01 21:00:00,275.4416868723273,0.0,0.0,275.441686872,0.0,275.441686872,0.0,-0.0,0.0,582.5518370551034,582.5518370551034,0.0,582.5518370551034
2019-01-01 22:00:00,226.64550766703158,0.0,398.0105304044379,0.0,171.36502273743784,-171.36502273743784,167.02588899670317,-0.0,0.0,585.6114580480398,585.6114580480398,398.0105304044379,187.60092764360195
2019-01-01 23:00:00,162.79662646223426,0.0,0.0,162.796626462,0.0,162.796626462,0.0,-0.0,0.0,588.059154842389,588.059154842389,0.0,588.059154842389
2019-01-02 00:00:00,109.6962853687428,0.0,109.69628536900001,0.0,-0.0,0.0,0.0,-0.0,0.0,588.6710790409763,588.6710790409763,109.69628536900001,478.97479367197633
2019-01-02 01:00:00,83.09304618527254,0.0,83.0930461853,0.0,-0.0,0.0,0.0,-0.0,0.0,586.2233822466271,586.2233822466271,83.0930461853,503.1303360613271
2019-01-02 02:00:00,72.37608499081296,0.0,72.37608499080001,0.0,-0.0,0.0,0.0,-0.0,0.0,579.4922160621669,579.4922160621669,72.37608499080001,507.1161310713669
2019-01-02 03:00:00,67.05141512302215,0.0,67.051415123,0.0,-0.0,0.0,0.0,-0.0,0.0,572.7610498777068,572.7610498777068,67.051415123,505.7096347547068
2019-01-02 04:00:00,76.28842814129388,0.0,76.2884281413,0.0,-0.0,0.0,0.0,-0.0,0.0,567.8656562890084,567.8656562890084,76.2884281413,491.57722814770835
2019-01-02 05:00:00,96.0707502328914,0.0,217.6434476336127,0.0,121.57269740071274,-121.57269740071274,118.49435512982929,-0.0,0.0,556.8510207144371,556.8510207144371,217.6434476336127,339.20757308082443
2019-01-02 06:00:00,119.1258175803525,0.0,119.12581758,0.0,-0.0,0.0,118.49435512982929,-0.0,0.0,538.4932947568183,538.4932947568183,119.12581758,419.3674771768183
2019-01-02 07:00:00,124.38762771938664,0.0,124.387627719,0.0,-0.0,0.0,118.49435512982929,-0.0,0.0,521.359417196374,521.359417196374,124.387627719,396.97178947737405
2019-01-02 08:00:00,115.4939595643397,0.0,0.0,115.49395956400001,0.0,115.49395956400001,0.0,-0.0,34.18763106011828,493.2109040613586,527.3985351214768,0.0,527.3985351214768
