,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-03 04:00:00,80.52594039211061,0.0,201.8616039,0.0,0.0,0.0,0.0,121.33566,201.8616039,80.5259439,0.0
2019-01-03 05:00:00,99.85562883821994,0.0,203.08500756,0.0,0.0,0.0,0.0,103.22938,203.08500756,99.85562756,0.0
2019-01-03 06:00:00,122.61263100195178,0.0,198.80309474999999,0.0,0.0,0.0,0.0,76.190465,198.80309474999999,122.61262974999998,0.0
2019-01-03 07:00:00,127.00430700854875,0.0,196.35628743,0.0,0.0,0.0,0.0,69.351982,196.35628743,127.00430543,0.0
2019-01-03 08:00:00,111.12502489045424,27.675582531,184.73395266,101.28451,0.0,0.0,0.0,0.0,212.409535191,212.409535191,-101.28451
2019-01-03 09:00:00,107.62102200778455,52.6685446581,154.14886116,3.3850106,0.0,0.0,98.719931,95.811375,206.81740581809999,111.00603081809999,-3.3850106
2019-01-03 10:00:00,94.9970734875459,87.9555022313,118.05845319,111.01688,0.0,0.0,102.01923,0.0,206.0139554213,206.0139554213,-111.01688
2019-01-03 11:00:00,96.1864669266338,73.26597308909999,92.36697633,69.446484,0.0,0.0,210.2251,0.0,165.6329494191,165.6329494191,-69.446484
2019-01-03 12:00:00,101.3895705163516,80.7523007422,86.86165985999999,66.224392,0.0,0.0,277.91316,0.0,167.6139606022,167.6139606022,-66.224392
2019-01-03 13:00:00,107.20075056531854,57.363720211099995,98.48399463,48.646966,0.0,0.0,342.46072,0.0,155.8477148411,155.8477148411,-48.646966
2019-01-03 14:00:00,110.82485624536739,0.5450178657,111.32973306,0.0,0.0,0.0,389.87591,1.0498953,111.8747509257,110.8248556257,0.0
2019-01-03 15:00:00,125.60536966022468,0.0,127.84568246999999,2.2403136,0.0,0.0,389.87591,0.0,127.84568246999999,127.84568246999999,-2.2403136
2019-01-03 16:00:00,184.53403733688015,0.0,156.59566848,0.0,27.938368,0.0,392.0595,0.0,156.59566848,156.59566848,27.938368
2019-01-03 17:00:00,266.7263388295537,0.0,190.23926913,0.0,76.487069,0.0,363.39534,0.0,190.23926913,190.23926913,76.487069
2019-01-03 18:00:00,305.046673129089,0.0,222.65946612,0.0,82.387206,0.0,284.92126,0.0,222.65946612,222.65946612,82.387206
2019-01-03 19:00:00,312.85294751884555,0.0,227.55308076,0.0,85.299865,0.0,200.39377,0.0,227.55308076,227.55308076,85.299865
2019-01-03 20:00:00,308.2775076805193,0.0,231.83499357,0.0,76.442513,0.0,112.87796,0.0,231.83499357,231.83499357,76.442513
2019-01-03 21:00:00,275.8112388798828,0.0,242.23392468,0.0,33.577313,0.0,34.449596,0.0,242.23392468,242.23392468,33.577313
2019-01-03 22:00:00,227.33849396286865,0.0,264.86689239,0.0,0.0,0.0,0.0,37.5284,264.86689239,227.33849238999997,0.0
